event_id,origin_time,origin_year,magnitude,magnitude_type,depth_km,latitude,longitude,region_code,num_responses,max_cdi,severe_label,sequence_id,role
us1000360t,2015-08-29T20:02:26Z,2015,5.1,mb,34.44,-10.8411,116.3414,G-020+0110,15,3.2,0,SEQ_us1000360t,train
us20003fck,2015-09-01T13:24:45Z,2015,5.0,mww,19.11,23.8865,121.5205,G+020+0120,10,3.6,0,SEQ_us100031xw,development
us20003fyz,2015-09-03T13:37:59Z,2015,5.0,mb,60.0,-36.81,-72.579,G-040-0080,15,3.8,0,SEQ_us20003fyz,train
us20003ghh,2015-09-04T20:08:31Z,2015,5.4,mww,37.0,-8.043,107.2248,G-010+0100,14,5.8,0,SEQ_us20003ghh,train
us20003iv1,2015-09-11T20:49:07Z,2015,5.1,mww,51.18,35.5042,139.9064,G+030+0130,179,6.0,1,SEQ_us20003iv1,train
us20003izx,2015-09-12T08:13:49Z,2015,5.0,mb,10.0,-31.661,-68.3557,G-040-0070,24,4.3,0,SEQ_us20003izx,development
us20003j4u,2015-09-13T08:14:08Z,2015,6.7,mww,10.0,24.913,-109.6226,G+020-0110,34,5.2,0,SEQ_us20003j4u,train
us20003jrf,2015-09-15T19:37:34Z,2015,5.3,mww,15.59,24.2353,121.8676,G+020+0120,32,6.3,1,SEQ_us100031xw,development
us20003jy9,2015-09-16T13:08:59Z,2015,5.2,mww,16.74,24.2526,121.8286,G+020+0120,19,3.4,0,SEQ_us100031xw,development
us20003k7a,2015-09-16T22:54:32Z,2015,8.3,mww,22.44,-31.5729,-71.6744,G-040-0080,1216,9.0,1,SEQ_us20003k7a,train
us20003k7w,2015-09-16T23:18:41Z,2015,7.0,mww,28.41,-31.5622,-71.4262,G-040-0080,57,8.0,1,SEQ_us20003k7a,train
us20003kfj,2015-09-17T03:55:15Z,2015,6.5,mww,27.0,-31.4244,-71.6876,G-040-0080,12,6.1,1,SEQ_us20003k7a,train
us20003kfv,2015-09-17T04:10:27Z,2015,6.7,mww,23.0,-31.5173,-71.804,G-040-0080,50,5.4,0,SEQ_us20003k7a,train
us20003l5d,2015-09-18T09:10:44Z,2015,6.2,mww,8.0,-32.3681,-72.2292,G-040-0080,24,4.6,0,SEQ_us20003k7a,train
us20003luw,2015-09-19T12:52:20Z,2015,6.2,mww,18.0,-32.3335,-72.0629,G-040-0080,49,4.6,0,SEQ_us20003k7a,train
